>> roxford5k: mAP E: 64.03, M: 48.39, H: 23.22
>> roxford5k: mP@k[1, 5, 10] E: [88.24 76.47 71.76], M: [87.14 75.43 69.86], H: [54.29 36.93 31.64]
>> rparis6k: mAP E: 79.97, M: 61.96, H: 33.31
>> rparis6k: mP@k[1, 5, 10] E: [97.14 94.57 93.29], M: [97.14 96.57 96.29], H: [85.71 80.   75.  ]
>> Train: [1][1/2000]	Time 1.258 (1.258)	Data 0.744 (0.744)	Loss 0.1419 (0.1419)
>> Train: [13][1630/2000]	Time 0.093 (0.096)	Data 0.000 (0.001)	Loss 0.2470 (0.1558)
>> Train: [13][1640/2000]	Time 0.095 (0.096)	Data 0.000 (0.001)	Loss 0.2165 (0.1556)
>> Train: [13][1650/2000]	Time 0.094 (0.096)	Data 0.000 (0.001)	Loss 0.1124 (0.1555)
>> Train: [13][1660/2000]	Time 0.100 (0.096)	Data 0.000 (0.001)	Loss 0.0926 (0.1552)
>> Train: [13][1670/2000]	Time 0.103 (0.096)	Data 0.000 (0.001)	Loss 0.2535 (0.1551)
>> Train: [13][1680/2000]	Time 0.106 (0.096)	Data 0.000 (0.001)	Loss 0.0785 (0.1549)
>> Train: [13][1690/2000]	Time 0.098 (0.096)	Data 0.000 (0.001)	Loss 0.0891 (0.1550)
>> Train: [13][1700/2000]	Time 0.108 (0.096)	Data 0.000 (0.001)	Loss 0.0736 (0.1550)
>> Train: [13][1710/2000]	Time 0.103 (0.096)	Data 0.000 (0.001)	Loss 0.2392 (0.1550)
>> Train: [13][1720/2000]	Time 0.106 (0.096)	Data 0.000 (0.001)	Loss 0.1577 (0.1549)
>> Train: [13][1730/2000]	Time 0.098 (0.096)	Data 0.000 (0.001)	Loss 0.1834 (0.1549)
>> Train: [13][1740/2000]	Time 0.097 (0.096)	Data 0.000 (0.001)	Loss 0.0994 (0.1548)
>> Train: [13][1750/2000]	Time 0.056 (0.096)	Data 0.000 (0.001)	Loss 0.1632 (0.1549)
>> Train: [13][1760/2000]	Time 0.092 (0.096)	Data 0.000 (0.001)	Loss 0.3112 (0.1549)
>> Train: [13][1770/2000]	Time 0.089 (0.096)	Data 0.000 (0.001)	Loss 0.3455 (0.1551)
>> Train: [13][1780/2000]	Time 0.091 (0.096)	Data 0.000 (0.001)	Loss 0.3324 (0.1553)
>> Train: [13][1790/2000]	Time 0.099 (0.096)	Data 0.000 (0.001)	Loss 0.1782 (0.1553)
>> Train: [13][1800/2000]	Time 0.103 (0.096)	Data 0.000 (0.001)	Loss 0.0924 (0.1555)
>> Train: [13][1810/2000]	Time 0.092 (0.096)	Data 0.000 (0.001)	Loss 0.1360 (0.1555)
>> Train: [13][1820/2000]	Time 0.095 (0.096)	Data 0.000 (0.001)	Loss 0.1598 (0.1555)
>> Train: [13][1830/2000]	Time 0.105 (0.096)	Data 0.000 (0.001)	Loss 0.1548 (0.1554)
>> Train: [13][1840/2000]	Time 0.091 (0.096)	Data 0.000 (0.001)	Loss 0.1504 (0.1553)
>> Train: [13][1850/2000]	Time 0.092 (0.096)	Data 0.000 (0.001)	Loss 0.2046 (0.1556)
>> Train: [13][1860/2000]	Time 0.079 (0.096)	Data 0.000 (0.001)	Loss 0.1406 (0.1555)
>> Train: [13][1870/2000]	Time 0.071 (0.096)	Data 0.000 (0.001)	Loss 0.0954 (0.1555)
>> Train: [13][1880/2000]	Time 0.092 (0.096)	Data 0.000 (0.001)	Loss 0.1180 (0.1557)
>> Train: [13][1890/2000]	Time 0.092 (0.096)	Data 0.000 (0.001)	Loss 0.2006 (0.1558)
>> Train: [13][1900/2000]	Time 0.089 (0.096)	Data 0.000 (0.001)	Loss 0.0694 (0.1560)
>> Train: [13][1910/2000]	Time 0.091 (0.096)	Data 0.000 (0.001)	Loss 0.1237 (0.1559)
>> Train: [13][1920/2000]	Time 0.108 (0.096)	Data 0.000 (0.001)	Loss 0.1342 (0.1558)
>> Train: [13][1930/2000]	Time 0.099 (0.096)	Data 0.000 (0.001)	Loss 0.3779 (0.1560)
>> Train: [13][1940/2000]	Time 0.092 (0.096)	Data 0.000 (0.001)	Loss 0.1615 (0.1559)
>> Train: [13][1950/2000]	Time 0.087 (0.096)	Data 0.000 (0.001)	Loss 0.0910 (0.1561)
>> Train: [13][1960/2000]	Time 0.093 (0.096)	Data 0.000 (0.001)	Loss 0.1911 (0.1560)
>> Train: [13][1970/2000]	Time 0.081 (0.096)	Data 0.000 (0.001)	Loss 0.2513 (0.1560)
>> Train: [13][1980/2000]	Time 0.103 (0.096)	Data 0.000 (0.001)	Loss 0.0569 (0.1559)
>> Train: [13][1990/2000]	Time 0.102 (0.096)	Data 0.000 (0.001)	Loss 0.1745 (0.1558)
>> Train: [13][2000/2000]	Time 0.099 (0.096)	Data 0.000 (0.001)	Loss 0.1113 (0.1558)
>> Val: [13][1/1691]	Time 0.771 (0.771)	Loss 0.0998 (0.0998)
>> Val: [13][10/1691]	Time 0.033 (0.110)	Loss 0.1789 (0.1931)
>> Val: [13][20/1691]	Time 0.035 (0.071)	Loss 0.1027 (0.1821)
>> Val: [13][30/1691]	Time 0.033 (0.059)	Loss 0.2123 (0.1706)
>> Val: [13][40/1691]	Time 0.032 (0.052)	Loss 0.1413 (0.1657)
>> Val: [13][50/1691]	Time 0.036 (0.048)	Loss 0.1384 (0.1642)
>> Val: [13][60/1691]	Time 0.036 (0.046)	Loss 0.0710 (0.1614)
>> Val: [13][70/1691]	Time 0.035 (0.044)	Loss 0.2694 (0.1614)
>> Val: [13][80/1691]	Time 0.035 (0.042)	Loss 0.1284 (0.1589)
>> Val: [13][90/1691]	Time 0.033 (0.042)	Loss 0.0849 (0.1601)
>> Val: [13][100/1691]	Time 0.032 (0.041)	Loss 0.1313 (0.1585)
>> Val: [13][110/1691]	Time 0.035 (0.040)	Loss 0.2065 (0.1605)
>> Val: [13][120/1691]	Time 0.042 (0.040)	Loss 0.0876 (0.1619)
>> Val: [13][130/1691]	Time 0.037 (0.039)	Loss 0.0721 (0.1610)
>> Val: [13][140/1691]	Time 0.032 (0.039)	Loss 0.2077 (0.1630)
>> Val: [13][150/1691]	Time 0.032 (0.038)	Loss 0.1880 (0.1624)
>> Val: [13][160/1691]	Time 0.036 (0.038)	Loss 0.2058 (0.1623)
>> Val: [13][170/1691]	Time 0.032 (0.038)	Loss 0.1327 (0.1633)
>> Val: [13][180/1691]	Time 0.033 (0.037)	Loss 0.2809 (0.1652)
>> Val: [13][190/1691]	Time 0.034 (0.037)	Loss 0.1049 (0.1645)
>> Val: [13][200/1691]	Time 0.036 (0.037)	Loss 0.0594 (0.1631)
>> Val: [13][210/1691]	Time 0.041 (0.037)	Loss 0.1340 (0.1630)
>> Val: [13][220/1691]	Time 0.033 (0.037)	Loss 0.0990 (0.1627)
>> Val: [13][230/1691]	Time 0.036 (0.036)	Loss 0.1820 (0.1632)
>> Val: [13][240/1691]	Time 0.036 (0.036)	Loss 0.1347 (0.1626)
>> Val: [13][250/1691]	Time 0.026 (0.036)	Loss 0.1601 (0.1625)
>> Val: [13][260/1691]	Time 0.030 (0.036)	Loss 0.1004 (0.1624)
>> Val: [13][270/1691]	Time 0.028 (0.036)	Loss 0.1927 (0.1640)
>> Val: [13][280/1691]	Time 0.029 (0.036)	Loss 0.1913 (0.1645)
>> Val: [13][290/1691]	Time 0.034 (0.036)	Loss 0.4303 (0.1658)
>> Val: [13][300/1691]	Time 0.034 (0.036)	Loss 0.2102 (0.1659)
>> Val: [13][310/1691]	Time 0.033 (0.036)	Loss 0.0796 (0.1650)
>> Val: [13][320/1691]	Time 0.035 (0.036)	Loss 0.1621 (0.1654)
>> Val: [13][330/1691]	Time 0.029 (0.035)	Loss 0.2175 (0.1666)
>> Val: [13][340/1691]	Time 0.035 (0.035)	Loss 0.1697 (0.1663)
>> Val: [13][350/1691]	Time 0.037 (0.035)	Loss 0.1406 (0.1654)
>> Val: [13][360/1691]	Time 0.036 (0.035)	Loss 0.1289 (0.1650)
>> Val: [13][370/1691]	Time 0.030 (0.035)	Loss 0.0967 (0.1647)
>> Val: [13][380/1691]	Time 0.030 (0.035)	Loss 0.1796 (0.1654)
>> Val: [13][390/1691]	Time 0.032 (0.035)	Loss 0.1293 (0.1647)
>> Val: [13][400/1691]	Time 0.031 (0.035)	Loss 0.2191 (0.1644)
>> Val: [13][410/1691]	Time 0.031 (0.035)	Loss 0.0997 (0.1643)
>> Val: [13][420/1691]	Time 0.035 (0.035)	Loss 0.1487 (0.1650)
>> Val: [13][430/1691]	Time 0.030 (0.035)	Loss 0.1301 (0.1659)
>> Val: [13][440/1691]	Time 0.035 (0.035)	Loss 0.0975 (0.1655)
>> Val: [13][450/1691]	Time 0.036 (0.035)	Loss 0.0836 (0.1648)
>> Val: [13][460/1691]	Time 0.035 (0.035)	Loss 0.1246 (0.1648)
>> Val: [13][470/1691]	Time 0.033 (0.035)	Loss 0.1874 (0.1653)
>> Val: [13][480/1691]	Time 0.032 (0.035)	Loss 0.2350 (0.1656)
>> Val: [13][490/1691]	Time 0.032 (0.035)	Loss 0.1859 (0.1663)
>> Val: [13][500/1691]	Time 0.035 (0.035)	Loss 0.1681 (0.1665)
>> Val: [13][510/1691]	Time 0.029 (0.035)	Loss 0.2438 (0.1667)
>> Val: [13][520/1691]	Time 0.036 (0.035)	Loss 0.0870 (0.1670)
>> Val: [13][530/1691]	Time 0.033 (0.035)	Loss 0.1576 (0.1664)
>> Val: [13][540/1691]	Time 0.035 (0.035)	Loss 0.1211 (0.1663)
>> Val: [13][550/1691]	Time 0.036 (0.035)	Loss 0.3593 (0.1674)
>> Val: [13][560/1691]	Time 0.028 (0.034)	Loss 0.1912 (0.1668)
>> Val: [13][570/1691]	Time 0.034 (0.034)	Loss 0.1726 (0.1666)
>> Val: [13][580/1691]	Time 0.033 (0.034)	Loss 0.1646 (0.1662)
>> Val: [13][590/1691]	Time 0.030 (0.034)	Loss 0.2177 (0.1663)
>> Val: [13][600/1691]	Time 0.033 (0.034)	Loss 0.1342 (0.1662)
>> Val: [13][610/1691]	Time 0.034 (0.034)	Loss 0.1246 (0.1668)
>> Val: [13][620/1691]	Time 0.033 (0.034)	Loss 0.1159 (0.1672)
>> Val: [13][630/1691]	Time 0.031 (0.034)	Loss 0.1551 (0.1673)
>> Val: [13][640/1691]	Time 0.032 (0.034)	Loss 0.1502 (0.1668)
>> Val: [13][650/1691]	Time 0.035 (0.034)	Loss 0.0732 (0.1662)
>> Val: [13][660/1691]	Time 0.036 (0.034)	Loss 0.1472 (0.1656)
>> Val: [13][670/1691]	Time 0.034 (0.034)	Loss 0.1913 (0.1657)
>> Val: [13][680/1691]	Time 0.032 (0.034)	Loss 0.2452 (0.1658)
>> Val: [13][690/1691]	Time 0.032 (0.034)	Loss 0.1876 (0.1659)
>> Val: [13][700/1691]	Time 0.039 (0.034)	Loss 0.1722 (0.1660)
>> Val: [13][710/1691]	Time 0.035 (0.034)	Loss 0.1452 (0.1664)
>> Val: [13][720/1691]	Time 0.032 (0.034)	Loss 0.2001 (0.1668)
>> Val: [13][730/1691]	Time 0.030 (0.034)	Loss 0.1716 (0.1670)
>> Val: [13][740/1691]	Time 0.027 (0.034)	Loss 0.2442 (0.1671)
>> Val: [13][750/1691]	Time 0.027 (0.034)	Loss 0.1722 (0.1671)
>> Val: [13][760/1691]	Time 0.032 (0.034)	Loss 0.2049 (0.1671)
>> Val: [13][770/1691]	Time 0.029 (0.034)	Loss 0.2105 (0.1677)
>> Val: [13][780/1691]	Time 0.026 (0.034)	Loss 0.1243 (0.1676)
>> Val: [13][790/1691]	Time 0.035 (0.034)	Loss 0.1195 (0.1675)
>> Val: [13][800/1691]	Time 0.029 (0.034)	Loss 0.1989 (0.1670)
>> Val: [13][810/1691]	Time 0.031 (0.034)	Loss 0.2544 (0.1671)
>> Val: [13][820/1691]	Time 0.039 (0.034)	Loss 0.0499 (0.1670)
>> Val: [13][830/1691]	Time 0.035 (0.034)	Loss 0.1024 (0.1669)
>> Val: [13][840/1691]	Time 0.035 (0.034)	Loss 0.1472 (0.1669)
>> Val: [13][850/1691]	Time 0.036 (0.034)	Loss 0.1424 (0.1665)
>> Val: [13][860/1691]	Time 0.035 (0.034)	Loss 0.1244 (0.1660)
>> Val: [13][870/1691]	Time 0.032 (0.034)	Loss 0.1815 (0.1661)
>> Val: [13][880/1691]	Time 0.032 (0.034)	Loss 0.1509 (0.1660)
>> Val: [13][890/1691]	Time 0.033 (0.034)	Loss 0.2526 (0.1664)
>> Val: [13][900/1691]	Time 0.035 (0.034)	Loss 0.3792 (0.1667)
>> Val: [13][910/1691]	Time 0.033 (0.034)	Loss 0.1678 (0.1662)
>> Val: [13][920/1691]	Time 0.029 (0.034)	Loss 0.0618 (0.1661)
>> Val: [13][930/1691]	Time 0.038 (0.034)	Loss 0.1684 (0.1665)
>> Val: [13][940/1691]	Time 0.031 (0.034)	Loss 0.1383 (0.1666)
>> Val: [13][950/1691]	Time 0.030 (0.034)	Loss 0.1800 (0.1671)
>> Val: [13][960/1691]	Time 0.035 (0.034)	Loss 0.1270 (0.1674)
>> Val: [13][970/1691]	Time 0.032 (0.034)	Loss 0.1674 (0.1677)
>> Val: [13][980/1691]	Time 0.033 (0.034)	Loss 0.2347 (0.1676)
>> Val: [13][990/1691]	Time 0.035 (0.034)	Loss 0.1200 (0.1675)
>> Val: [13][1000/1691]	Time 0.027 (0.034)	Loss 0.2454 (0.1674)
>> Val: [13][1010/1691]	Time 0.030 (0.034)	Loss 0.2944 (0.1675)
>> Val: [13][1020/1691]	Time 0.034 (0.034)	Loss 0.1700 (0.1675)
>> Val: [13][1030/1691]	Time 0.034 (0.034)	Loss 0.1518 (0.1676)
>> Val: [13][1040/1691]	Time 0.035 (0.034)	Loss 0.1097 (0.1677)
>> Val: [13][1050/1691]	Time 0.033 (0.034)	Loss 0.2894 (0.1672)
>> Val: [13][1060/1691]	Time 0.035 (0.034)	Loss 0.1140 (0.1672)
>> Val: [13][1070/1691]	Time 0.036 (0.034)	Loss 0.1295 (0.1671)
>> Val: [13][1080/1691]	Time 0.038 (0.034)	Loss 0.2191 (0.1672)
>> Val: [13][1090/1691]	Time 0.033 (0.034)	Loss 0.0833 (0.1670)
>> Val: [13][1100/1691]	Time 0.033 (0.034)	Loss 0.0382 (0.1668)
>> Val: [13][1110/1691]	Time 0.029 (0.034)	Loss 0.2636 (0.1670)
>> Val: [13][1120/1691]	Time 0.035 (0.034)	Loss 0.1028 (0.1669)
>> Val: [13][1130/1691]	Time 0.030 (0.034)	Loss 0.2137 (0.1667)
>> Val: [13][1140/1691]	Time 0.033 (0.034)	Loss 0.3139 (0.1673)
>> Val: [13][1150/1691]	Time 0.035 (0.034)	Loss 0.2363 (0.1675)
>> Val: [13][1160/1691]	Time 0.033 (0.034)	Loss 0.1552 (0.1675)
>> Val: [13][1170/1691]	Time 0.032 (0.034)	Loss 0.1595 (0.1677)
>> Val: [13][1180/1691]	Time 0.027 (0.034)	Loss 0.1873 (0.1676)
>> Val: [13][1190/1691]	Time 0.030 (0.034)	Loss 0.1183 (0.1678)
>> Val: [13][1200/1691]	Time 0.040 (0.034)	Loss 0.1242 (0.1677)
>> Val: [13][1210/1691]	Time 0.036 (0.034)	Loss 0.0763 (0.1680)
>> Val: [13][1220/1691]	Time 0.033 (0.034)	Loss 0.2302 (0.1682)
>> Val: [13][1230/1691]	Time 0.033 (0.034)	Loss 0.0590 (0.1683)
>> Val: [13][1240/1691]	Time 0.036 (0.034)	Loss 0.1362 (0.1683)
>> Val: [13][1250/1691]	Time 0.037 (0.034)	Loss 0.1783 (0.1684)
>> Val: [13][1260/1691]	Time 0.039 (0.034)	Loss 0.1239 (0.1685)
>> Val: [13][1270/1691]	Time 0.035 (0.034)	Loss 0.1292 (0.1684)
>> Val: [13][1280/1691]	Time 0.030 (0.034)	Loss 0.2789 (0.1684)
>> Val: [13][1290/1691]	Time 0.034 (0.034)	Loss 0.1609 (0.1689)
>> Val: [13][1300/1691]	Time 0.032 (0.034)	Loss 0.1776 (0.1689)
>> Val: [13][1310/1691]	Time 0.033 (0.034)	Loss 0.1177 (0.1689)
>> Val: [13][1320/1691]	Time 0.034 (0.034)	Loss 0.1706 (0.1690)
>> Val: [13][1330/1691]	Time 0.035 (0.034)	Loss 0.1483 (0.1690)
>> Val: [13][1340/1691]	Time 0.029 (0.034)	Loss 0.1553 (0.1692)
>> Val: [13][1350/1691]	Time 0.033 (0.034)	Loss 0.0838 (0.1693)
>> Val: [13][1360/1691]	Time 0.029 (0.034)	Loss 0.1634 (0.1693)
>> Val: [13][1370/1691]	Time 0.037 (0.034)	Loss 0.2076 (0.1691)
>> Val: [13][1380/1691]	Time 0.034 (0.034)	Loss 0.2601 (0.1690)
>> Val: [13][1390/1691]	Time 0.040 (0.034)	Loss 0.0728 (0.1691)
>> Val: [13][1400/1691]	Time 0.029 (0.034)	Loss 0.4609 (0.1697)
>> Val: [13][1410/1691]	Time 0.030 (0.034)	Loss 0.2070 (0.1696)
>> Val: [13][1420/1691]	Time 0.037 (0.034)	Loss 0.2556 (0.1695)
>> Val: [13][1430/1691]	Time 0.032 (0.034)	Loss 0.1514 (0.1696)
>> Val: [13][1440/1691]	Time 0.035 (0.034)	Loss 0.3168 (0.1696)
>> Val: [13][1450/1691]	Time 0.036 (0.034)	Loss 0.1558 (0.1696)
>> Val: [13][1460/1691]	Time 0.036 (0.034)	Loss 0.1686 (0.1701)
>> Val: [13][1470/1691]	Time 0.036 (0.034)	Loss 0.1479 (0.1701)
>> Val: [13][1480/1691]	Time 0.028 (0.034)	Loss 0.1464 (0.1700)
>> Val: [13][1490/1691]	Time 0.034 (0.034)	Loss 0.0750 (0.1697)
>> Val: [13][1500/1691]	Time 0.035 (0.034)	Loss 0.1353 (0.1697)
>> Val: [13][1510/1691]	Time 0.032 (0.034)	Loss 0.1128 (0.1696)
>> Val: [13][1520/1691]	Time 0.034 (0.034)	Loss 0.1847 (0.1695)
>> Val: [13][1530/1691]	Time 0.037 (0.034)	Loss 0.0893 (0.1695)
>> Val: [13][1540/1691]	Time 0.036 (0.034)	Loss 0.0632 (0.1694)
>> Val: [13][1550/1691]	Time 0.034 (0.034)	Loss 0.1004 (0.1694)
>> Val: [13][1560/1691]	Time 0.034 (0.034)	Loss 0.1339 (0.1693)
>> Val: [13][1570/1691]	Time 0.031 (0.034)	Loss 0.1756 (0.1694)
>> Val: [13][1580/1691]	Time 0.035 (0.034)	Loss 0.2553 (0.1695)
>> Val: [13][1590/1691]	Time 0.036 (0.034)	Loss 0.2106 (0.1693)
>> Val: [13][1600/1691]	Time 0.034 (0.034)	Loss 0.1672 (0.1692)
>> Val: [13][1610/1691]	Time 0.035 (0.034)	Loss 0.1170 (0.1691)
>> Val: [13][1620/1691]	Time 0.032 (0.034)	Loss 0.1348 (0.1692)
>> Val: [13][1630/1691]	Time 0.037 (0.034)	Loss 0.1634 (0.1694)
>> Val: [13][1640/1691]	Time 0.034 (0.034)	Loss 0.2368 (0.1693)
>> Val: [13][1650/1691]	Time 0.035 (0.034)	Loss 0.1570 (0.1693)
>> Val: [13][1660/1691]	Time 0.034 (0.034)	Loss 0.2349 (0.1694)
>> Val: [13][1670/1691]	Time 0.033 (0.034)	Loss 0.1499 (0.1694)
>> Val: [13][1680/1691]	Time 0.032 (0.034)	Loss 0.2013 (0.1694)
>> Val: [13][1690/1691]	Time 0.033 (0.034)	Loss 0.2010 (0.1693)
>> Val: [13][1691/1691]	Time 0.032 (0.034)	Loss 0.2018 (0.1693)
>> roxford5k: mAP E: 69.03, M: 52.14, H: 25.11
>> roxford5k: mP@k[1, 5, 10] E: [88.24 79.63 74.6 ], M: [87.14 78.1  73.38], H: [57.14 42.43 37.14]
>> rparis6k: mAP E: 77.42, M: 60.16, H: 32.31
>> rparis6k: mP@k[1, 5, 10] E: [94.29 92.95 91.95], M: [95.71 96.29 95.14], H: [85.71 77.43 71.43]
>> Train: [14][1/2000]	Time 0.889 (0.889)	Data 0.788 (0.788)	Loss 0.1312 (0.1312)
>> Train: [14][10/2000]	Time 0.093 (0.176)	Data 0.000 (0.079)	Loss 0.1681 (0.1393)
>> Train: [14][20/2000]	Time 0.100 (0.135)	Data 0.000 (0.040)	Loss 0.1433 (0.1664)
>> Train: [14][30/2000]	Time 0.083 (0.123)	Data 0.000 (0.026)	Loss 0.1092 (0.1573)
>> Train: [14][40/2000]	Time 0.092 (0.117)	Data 0.000 (0.020)	Loss 0.0712 (0.1617)
>> Train: [14][50/2000]	Time 0.100 (0.112)	Data 0.000 (0.016)	Loss 0.2097 (0.1615)
>> Train: [14][60/2000]	Time 0.090 (0.109)	Data 0.000 (0.013)	Loss 0.0999 (0.1591)
>> Train: [14][70/2000]	Time 0.090 (0.107)	Data 0.000 (0.011)	Loss 0.1063 (0.1557)
>> Train: [14][80/2000]	Time 0.099 (0.106)	Data 0.000 (0.010)	Loss 0.0708 (0.1547)
>> Train: [14][90/2000]	Time 0.099 (0.105)	Data 0.000 (0.009)	Loss 0.2499 (0.1587)
>> Train: [14][100/2000]	Time 0.093 (0.104)	Data 0.000 (0.008)	Loss 0.2418 (0.1597)
>> Train: [14][110/2000]	Time 0.086 (0.103)	Data 0.000 (0.007)	Loss 0.2140 (0.1592)
>> Train: [14][120/2000]	Time 0.100 (0.102)	Data 0.000 (0.007)	Loss 0.2397 (0.1569)
>> Train: [14][130/2000]	Time 0.101 (0.102)	Data 0.000 (0.006)	Loss 0.2837 (0.1592)
>> Train: [14][140/2000]	Time 0.101 (0.101)	Data 0.000 (0.006)	Loss 0.1904 (0.1586)
>> Train: [14][150/2000]	Time 0.091 (0.101)	Data 0.000 (0.006)	Loss 0.2343 (0.1581)
>> Train: [14][160/2000]	Time 0.081 (0.101)	Data 0.000 (0.005)	Loss 0.1267 (0.1581)
>> Train: [14][170/2000]	Time 0.096 (0.100)	Data 0.000 (0.005)	Loss 0.1106 (0.1564)
>> Train: [14][180/2000]	Time 0.099 (0.100)	Data 0.000 (0.005)	Loss 0.1140 (0.1567)
>> Train: [14][190/2000]	Time 0.088 (0.100)	Data 0.000 (0.004)	Loss 0.2117 (0.1578)
>> Train: [14][200/2000]	Time 0.080 (0.100)	Data 0.000 (0.004)	Loss 0.2121 (0.1576)
>> Train: [14][210/2000]	Time 0.100 (0.099)	Data 0.000 (0.004)	Loss 0.2281 (0.1591)
>> Train: [14][220/2000]	Time 0.098 (0.099)	Data 0.000 (0.004)	Loss 0.0667 (0.1606)
>> Train: [14][230/2000]	Time 0.092 (0.099)	Data 0.000 (0.004)	Loss 0.1918 (0.1602)
>> Train: [14][240/2000]	Time 0.096 (0.099)	Data 0.000 (0.004)	Loss 0.1877 (0.1591)
>> Train: [14][250/2000]	Time 0.095 (0.099)	Data 0.000 (0.003)	Loss 0.3365 (0.1592)
>> Train: [14][260/2000]	Time 0.104 (0.099)	Data 0.000 (0.003)	Loss 0.2115 (0.1578)
>> Train: [14][270/2000]	Time 0.096 (0.099)	Data 0.000 (0.003)	Loss 0.1276 (0.1575)
>> Train: [14][280/2000]	Time 0.089 (0.098)	Data 0.000 (0.003)	Loss 0.1647 (0.1584)
>> Train: [14][290/2000]	Time 0.086 (0.098)	Data 0.000 (0.003)	Loss 0.1185 (0.1595)
>> Train: [14][300/2000]	Time 0.099 (0.098)	Data 0.000 (0.003)	Loss 0.2286 (0.1590)
>> Train: [14][310/2000]	Time 0.097 (0.098)	Data 0.000 (0.003)	Loss 0.2337 (0.1596)
>> Train: [14][320/2000]	Time 0.101 (0.098)	Data 0.000 (0.003)	Loss 0.1662 (0.1593)
>> Train: [14][330/2000]	Time 0.096 (0.098)	Data 0.000 (0.003)	Loss 0.1934 (0.1605)
>> Train: [14][340/2000]	Time 0.079 (0.098)	Data 0.000 (0.003)	Loss 0.1392 (0.1602)
>> Train: [14][350/2000]	Time 0.095 (0.098)	Data 0.000 (0.002)	Loss 0.1473 (0.1590)
>> Train: [14][360/2000]	Time 0.113 (0.098)	Data 0.000 (0.002)	Loss 0.1140 (0.1593)
>> Train: [14][370/2000]	Time 0.097 (0.097)	Data 0.000 (0.002)	Loss 0.2364 (0.1595)
>> Train: [14][380/2000]	Time 0.100 (0.097)	Data 0.000 (0.002)	Loss 0.0998 (0.1590)
>> Train: [14][390/2000]	Time 0.081 (0.097)	Data 0.000 (0.002)	Loss 0.1926 (0.1591)
>> Train: [14][400/2000]	Time 0.100 (0.097)	Data 0.000 (0.002)	Loss 0.1593 (0.1578)
>> Train: [14][410/2000]	Time 0.109 (0.097)	Data 0.000 (0.002)	Loss 0.1041 (0.1575)
>> Train: [14][420/2000]	Time 0.089 (0.097)	Data 0.000 (0.002)	Loss 0.2112 (0.1571)
>> Train: [14][430/2000]	Time 0.095 (0.097)	Data 0.000 (0.002)	Loss 0.1015 (0.1571)
>> Train: [14][440/2000]	Time 0.104 (0.097)	Data 0.000 (0.002)	Loss 0.3749 (0.1575)
>> Train: [14][450/2000]	Time 0.091 (0.097)	Data 0.000 (0.002)	Loss 0.1127 (0.1573)
>> Train: [14][460/2000]	Time 0.104 (0.097)	Data 0.000 (0.002)	Loss 0.1945 (0.1568)
>> Train: [14][470/2000]	Time 0.107 (0.097)	Data 0.000 (0.002)	Loss 0.1602 (0.1573)
>> Train: [14][480/2000]	Time 0.106 (0.097)	Data 0.000 (0.002)	Loss 0.0980 (0.1568)
>> Train: [14][490/2000]	Time 0.103 (0.097)	Data 0.000 (0.002)	Loss 0.1212 (0.1565)
>> Train: [14][500/2000]	Time 0.101 (0.097)	Data 0.000 (0.002)	Loss 0.1778 (0.1563)
>> Train: [14][510/2000]	Time 0.098 (0.097)	Data 0.000 (0.002)	Loss 0.2327 (0.1576)
>> Train: [14][520/2000]	Time 0.106 (0.097)	Data 0.000 (0.002)	Loss 0.1107 (0.1572)
>> Train: [14][530/2000]	Time 0.104 (0.097)	Data 0.001 (0.002)	Loss 0.1468 (0.1570)
>> Train: [14][540/2000]	Time 0.088 (0.097)	Data 0.000 (0.002)	Loss 0.1161 (0.1565)
>> Train: [14][550/2000]	Time 0.093 (0.097)	Data 0.000 (0.002)	Loss 0.1873 (0.1563)
>> Train: [14][560/2000]	Time 0.105 (0.097)	Data 0.000 (0.002)	Loss 0.1730 (0.1562)
>> Train: [14][570/2000]	Time 0.096 (0.097)	Data 0.000 (0.002)	Loss 0.1996 (0.1570)
>> Train: [14][580/2000]	Time 0.079 (0.097)	Data 0.000 (0.002)	Loss 0.2793 (0.1569)
>> Train: [14][590/2000]	Time 0.098 (0.097)	Data 0.000 (0.002)	Loss 0.1052 (0.1574)
>> Train: [14][600/2000]	Time 0.089 (0.097)	Data 0.000 (0.002)	Loss 0.0702 (0.1568)
>> Train: [14][610/2000]	Time 0.106 (0.097)	Data 0.000 (0.002)	Loss 0.0702 (0.1566)
>> Train: [14][620/2000]	Time 0.094 (0.097)	Data 0.000 (0.001)	Loss 0.0925 (0.1563)
>> Train: [14][630/2000]	Time 0.096 (0.097)	Data 0.000 (0.001)	Loss 0.1984 (0.1559)
>> Train: [14][640/2000]	Time 0.097 (0.097)	Data 0.000 (0.001)	Loss 0.2027 (0.1560)
>> Train: [14][650/2000]	Time 0.110 (0.097)	Data 0.000 (0.001)	Loss 0.2796 (0.1561)
>> Train: [14][660/2000]	Time 0.086 (0.097)	Data 0.000 (0.001)	Loss 0.1978 (0.1564)
>> Train: [14][670/2000]	Time 0.100 (0.097)	Data 0.000 (0.001)	Loss 0.0687 (0.1564)
>> Train: [14][680/2000]	Time 0.102 (0.097)	Data 0.000 (0.001)	Loss 0.1520 (0.1563)
>> Train: [14][690/2000]	Time 0.092 (0.097)	Data 0.000 (0.001)	Loss 0.2215 (0.1566)
